Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2024-01-25 06:20:00.000,2024-01-25 06:29:00.000,2024-01-25 06:45:00.000,C1.5,0.0,92.739786
2024-01-25 09:33:00.000,2024-01-25 09:38:00.000,2024-01-25 09:44:00.000,C2.3,0.0,92.9322
2024-01-25 10:41:00.000,2024-01-25 10:54:00.000,2024-01-25 11:11:00.000,C3.4,0.0,92.999862
2024-01-25 13:52:00.000,2024-01-25 14:10:00.000,2024-01-25 14:22:00.000,C4.2,0.0,93.189552
2024-01-25 14:54:00.000,2024-01-25 15:08:00.000,2024-01-25 15:17:00.000,C5.1,0.0,93.25101
2024-01-25 15:17:00.000,2024-01-25 15:22:00.000,2024-01-25 15:26:00.000,C5.5,0.0,93.273798
2024-01-26 00:23:00.000,2024-01-26 00:33:00.000,2024-01-26 00:42:00.000,C9.0,0.0,93.8124
2024-01-26 03:27:00.000,2024-01-26 03:31:00.000,2024-01-26 03:36:00.000,C1.8,0.0,93.992916
2024-01-26 04:50:00.000,2024-01-26 04:59:00.000,2024-01-26 05:08:00.000,C9.0,0.0,94.074174
2024-01-26 17:03:00.000,2024-01-26 17:11:00.000,2024-01-26 17:15:00.000,C2.3,0.0,94.787382
2024-01-26 18:11:00.000,2024-01-26 18:18:00.000,2024-01-26 18:25:00.000,C2.0,0.0,94.853136
2024-01-27 09:30:00.000,2024-01-27 09:41:00.000,2024-01-27 09:51:00.000,C2.0,0.0,95.735016
2024-01-27 10:28:00.000,2024-01-27 10:39:00.000,2024-01-27 10:47:00.000,C2.9,0.0,95.790246
2024-01-28 09:36:00.000,2024-01-28 10:17:00.000,2024-01-28 10:38:00.000,C3.3,0.0,97.096746
2024-01-28 12:37:00.000,2024-01-28 12:46:00.000,2024-01-28 12:55:00.000,C2.8,0.0,97.264956
2024-01-28 15:18:00.000,2024-01-28 15:29:00.000,2024-01-28 15:38:00.000,C3.2,0.0,97.414152
2024-01-28 15:52:00.000,2024-01-28 16:00:00.000,2024-01-28 16:22:00.000,C3.0,0.0,97.44561
2024-01-29 00:43:00.000,2024-01-29 00:51:00.000,2024-01-29 00:59:00.000,C5.2,0.0,97.934598
2024-01-29 01:29:00.000,2024-01-29 01:40:00.000,2024-01-29 01:52:00.000,M1.2,0.0,97.976754
